Date,EEM
2001-04-12,312.451
2001-04-13,312.829
2001-04-16,310.323
2001-04-17,310.018
2001-04-18,319.491
2001-04-19,324.229
2001-04-20,319.111
2001-04-23,317.567
2001-04-24,317.980
2001-04-25,318.983
2001-04-26,322.327
2001-04-27,323.727
2001-04-30,327.709
2001-05-01,327.663
2001-05-02,331.063
2001-05-03,331.431
2001-05-04,329.549
2001-05-07,330.063
2001-05-08,328.558
2001-05-09,328.331
2001-05-10,328.152
2001-05-11,326.969
2001-05-14,323.235
2001-05-15,321.620
2001-05-16,323.189
2001-05-17,332.056
2001-05-18,333.504
2001-05-21,335.398
2001-05-22,337.030
2001-05-23,338.316
2001-05-24,337.122
2001-05-25,335.556
2001-05-28,335.377
2001-05-29,334.582
2001-05-30,331.162
2001-05-31,330.545
2001-06-01,329.437
2001-06-04,330.479
2001-06-05,329.204
2001-06-06,330.711
2001-06-07,331.379
2001-06-08,334.637
2001-06-11,332.669
2001-06-12,331.566
2001-06-13,331.010
2001-06-14,329.130
2001-06-15,326.987
2001-06-18,320.522
2001-06-19,320.418
2001-06-20,319.307
2001-06-21,321.897
2001-06-22,322.633
2001-06-25,322.277
2001-06-26,320.880
2001-06-27,321.249
2001-06-28,319.267
2001-06-29,322.888
2001-07-02,323.543
2001-07-03,320.845
2001-07-04,318.227
2001-07-05,316.429
2001-07-06,311.423
2001-07-09,309.328
2001-07-10,307.197
2001-07-11,300.910
2001-07-12,303.527
2001-07-13,301.843
2001-07-16,299.156
2001-07-17,299.225
2001-07-18,297.384
2001-07-19,297.982
2001-07-20,297.687
2001-07-23,297.554
2001-07-24,295.563
2001-07-25,295.722
2001-07-26,298.643
2001-07-27,299.953
2001-07-30,300.771
2001-07-31,301.666
2001-08-01,303.432
2001-08-02,306.947
2001-08-03,306.891
2001-08-06,304.745
2001-08-07,302.823
2001-08-08,303.181
2001-08-09,300.502
2001-08-10,301.688
2001-08-13,302.853
2001-08-14,305.934
2001-08-15,305.687
2001-08-16,304.972
2001-08-17,300.450
2001-08-20,297.401
2001-08-21,297.648
2001-08-22,298.569
2001-08-23,298.252
2001-08-24,298.744
2001-08-27,302.377
2001-08-28,301.352
2001-08-29,301.875
2001-08-30,300.105
2001-08-31,298.169
2001-09-03,295.385
2001-09-04,297.057
2001-09-05,294.989
2001-09-06,291.190
2001-09-07,290.157
2001-09-10,287.608
2001-09-11,278.106
2001-09-12,270.764
2001-09-13,267.306
2001-09-14,260.871
2001-09-17,256.591
2001-09-18,257.864
2001-09-19,259.712
2001-09-20,252.362
2001-09-21,245.643
2001-09-24,248.390
2001-09-25,247.278
2001-09-26,247.488
2001-09-27,247.520
2001-09-28,251.395
2001-10-01,250.293
2001-10-02,248.334
2001-10-03,247.053
2001-10-04,251.933
2001-10-05,252.793
2001-10-08,249.872
2001-10-09,254.209
2001-10-10,257.169
2001-10-11,264.197
2001-10-12,262.862
2001-10-15,261.740
2001-10-16,264.250
2001-10-17,266.358
2001-10-18,263.366
2001-10-19,264.009
2001-10-22,265.113
2001-10-23,266.973
2001-10-24,270.250
2001-10-25,270.150
2001-10-26,271.528
2001-10-29,270.751
2001-10-30,265.630
2001-10-31,266.861
2001-11-01,268.105
2001-11-02,269.958
2001-11-05,274.963
2001-11-06,275.793
2001-11-07,275.302
2001-11-08,278.852
2001-11-09,279.981
2001-11-12,279.630
2001-11-13,283.288
2001-11-14,287.814
2001-11-15,291.448
2001-11-16,291.642
2001-11-19,296.605
2001-11-20,292.778
2001-11-21,292.881
2001-11-22,294.265
2001-11-23,297.730
2001-11-26,303.020
2001-11-27,301.796
2001-11-28,295.131
2001-11-29,293.078
2001-11-30,294.426
2001-12-03,298.391
2001-12-04,301.563
2001-12-05,310.420
2001-12-06,315.256
2001-12-07,317.151
2001-12-10,313.842
2001-12-11,312.157
2001-12-12,315.965
2001-12-13,310.695
2001-12-14,309.005
2001-12-17,308.818
2001-12-18,308.505
2001-12-19,308.065
2001-12-20,308.237
2001-12-21,305.377
2001-12-24,307.121
2001-12-25,308.718
2001-12-26,309.492
2001-12-27,311.751
2001-12-28,315.220
2001-12-31,317.400
2002-01-01,317.452
2002-01-02,321.936
2002-01-03,326.082
2002-01-04,332.530
2002-01-07,335.574
2002-01-08,333.194
2002-01-09,333.176
2002-01-10,328.148
2002-01-11,325.830
2002-01-14,325.554
2002-01-15,322.353
2002-01-16,318.862
2002-01-17,321.008
2002-01-18,320.604
2002-01-21,323.008
2002-01-22,322.244
2002-01-23,324.949
2002-01-24,326.326
2002-01-25,328.449
2002-01-28,329.623
2002-01-29,327.764
2002-01-30,323.102
2002-01-31,327.746
2002-02-01,327.031
2002-02-04,325.438
2002-02-05,325.781
2002-02-06,327.388
2002-02-07,324.166
2002-02-08,324.851
2002-02-11,324.316
2002-02-12,325.626
2002-02-13,327.757
2002-02-14,334.747
2002-02-15,334.420
2002-02-18,334.448
2002-02-19,330.811
